date,mid_price
32:35.0,18972.335
32:35.1,18972.39
32:35.2,18972.395
32:35.3,18972.33
32:35.4,18972.36
32:35.5,18972.335
32:35.6,18972.36
32:35.7,18972.345
32:35.8,18972.235
32:35.9,18972.24
32:36.0,18972.225
32:36.1,18972.28
32:36.2,18972.225
32:36.3,18972.045
32:36.4,18972.04
32:36.5,18972.04
32:36.6,18972.27
32:36.7,18972.195
32:36.8,18972.195
32:36.9,18972.195
32:37.0,18972.095
32:37.1,18972.69
32:37.2,18972.89
32:37.3,18972.615
32:37.4,18972.615
32:37.5,18972.885
32:37.6,18972.63
32:37.7,18972.705
32:37.8,18972.765
32:37.9,18972.76
32:38.0,18972.68
32:38.1,18972.68
32:38.2,18972.645
32:38.3,18972.53
32:38.4,18972.53
32:38.5,18972.71
32:38.6,18973.475
32:38.7,18973.13
32:38.8,18973.26
32:38.9,18973.265
32:39.0,18973.285
32:39.1,18973.285
32:39.2,18973.285
32:39.3,18973.16
32:39.4,18973.07
32:39.5,18973.195
32:39.6,18972.965
32:39.7,18973.145
32:39.8,18972.88
32:39.9,18972.92
32:40.0,18973.14
32:40.1,18973.17
32:40.2,18972.98
32:40.3,18972.985
32:40.4,18972.985
32:40.5,18972.97
32:40.6,18973.3
32:40.7,18973.61
32:40.8,18973.515
32:40.9,18973.565
32:41.0,18973.26
32:41.1,18973.26
32:41.2,18973.21
32:41.3,18973.21
32:41.4,18973.23
32:41.5,18973.925
32:41.6,18973.93
32:41.7,18973.99
32:41.8,18975.095
32:41.9,18974.475
32:42.0,18974.59
32:42.1,18974.595
32:42.2,18973.585
32:42.3,18973.56
32:42.4,18973.355
32:42.5,18973.415
32:42.6,18973.51
32:42.7,18973.46
32:42.8,18973.605
32:42.9,18973.975
32:43.0,18973.55
32:43.1,18973.39
32:43.2,18973.265
32:43.3,18973.255
32:43.4,18972.72
32:43.5,18972.72
32:43.6,18973.08
32:43.7,18973.12
32:43.8,18973.125
32:43.9,18973.125
32:44.0,18972.845
32:44.1,18972.845
32:44.2,18973.08
32:44.3,18973.07
32:44.4,18973.065
32:44.5,18973.07
32:44.6,18973.16
32:44.7,18973.295
32:44.8,18972.955
32:44.9,18972.955
32:45.0,18972.95
32:45.1,18972.955
32:45.2,18973.225
32:45.3,18973.215
32:45.4,18973.215
32:45.5,18973.14
32:45.6,18973.14
32:45.7,18973.14
32:45.8,18973.115
32:45.9,18973.115
32:46.0,18973.085
32:46.1,18972.895
32:46.2,18972.89
32:46.3,18972.815
32:46.4,18972.815
32:46.5,18972.815
32:46.6,18973.065
32:46.7,18972.79
32:46.8,18972.755
32:46.9,18972.805
32:47.0,18972.76
32:47.1,18973.05
32:47.2,18973
32:47.3,18973.24
32:47.4,18973.405
32:47.5,18973.405
32:47.6,18973.455
32:47.7,18973.455
32:47.8,18973.335
32:47.9,18973.33
32:48.0,18973.225
32:48.1,18973.225
32:48.2,18973.295
32:48.3,18973.655
32:48.4,18973.28
32:48.5,18973.25
32:48.6,18973.25
32:48.7,18972.915
32:48.8,18972.83
32:48.9,18972.855
32:49.0,18972.845
32:49.1,18972.9
32:49.2,18972.9
32:49.3,18972.82
